Publication Name,Year Founded,Status,Status Checked Date,Print Publication,Electronic Publication,Audio Publication,Lower Wordcount,Upper Wordcount,Submission Type,Demographic Restrictions,URL,Payment Currency,Payment,Fantasy,SciFi,Horror,Other,Notes
100 Foot Crow,2024,Active,7/9/2026,n,y,n,n/a,100,Reading periods,N/A,https://100footcrow.com/,USD,$8 ,y,y,y,n,
Adventitious,2025,Active,7/11/2026,n,y,n,1000,17000,Reading periods,,https://www.adventitious.net,USD,$0.08 per word,y,y,n,y,
Analog,1930,Active,7/9/2026,y,y,n,1000,80000,Always open,N/A,https://www.analogsf.com/,USD,$0.08 per word,n,y,n,n,
Apex Magazine,2005,Active,7/9/2026,n,y,n,1000,9000,Always open,,https://www.apex-magazine.com/,USD,$0.08 per word,y,y,y,n,
Asimov's,1977,Active,7/9/2026,y,y,n,1000,20000,Always open,,https://asimovs.com/,USD,$0.08 per word,y,y,n,n,
Augur Magazine,2017,Active,7/9/2026,n,y,n,n/a,5000,Reading periods,,https://www.augurmag.com/,CAD,$112 ,y,y,y,y,
Baffling Magazine,2020,Active,7/9/2026,n,y,n,n/a,1200,Reading periods,,https://www.bafflingmag.com/,USD,$0.08 per word,y,y,y,n,
Beneath Ceaseless Skies,2008,Active,7/9/2026,n,y,n,1000,15000,Always open,,https://www.beneath-ceaseless-skies.com/,USD,$0.08 per word,y,n,n,n,
Cast of Wonders,2011,Active,7/9/2026,n,y,y,n/a,6000,Reading periods,,http://www.castofwonders.org/,USD,$0.08 per word,y,y,y,y,
Clarkesworld,2006,Active,7/9/2026,n,y,n,1000,22000,Always open,,https://clarkesworldmagazine.com/,USD,$0.14 per word,y,y,n,n,
Crepuscular,2023,Active,7/19/2026,n,y,n,n/a,250,Always open,,https://www.patreon.com/CrepuscularMagazine/posts/submission-85137677,USD,$0.10 per word,y,y,y,y,
"Cosmic Background, The",2023,Active,7/9/2026,n,y,n,n/a,1000,Reading periods,,https://www.thecosmicbackground.com/,USD,$0.10 per word,n,y,n,n,
Dreamforge,2018,Active,7/9/2026,y,y,n,200,7000,Reading periods,,https://dreamforgemagazine.com/,USD,$0.08 per word,y,y,n,n,
Factor Four,2017,Active,7/9/2026,n,y,n,n/a,1000,Reading periods,,https://factorfourmag.com/,USD,$0.11 per word,y,y,n,n,
"Faculist, The",2007,Active,7/9/2026,y,y,n,n/a,1000,Reading periods,,https://fabulistmagazine.com/,USD,$100 ,y,y,y,y,
Fantasy & Science Fiction,1949,unknown,7/9/2026,y,n,n,n/a,25000,Always open,,http://fandsf.com/,USD,$0.08 per word,y,y,n,n,
Flame Tree Fiction Newsletter,unknown,Active,7/9/2026,n,y,n,700,1000,Rolling,,https://www.flametreepress.com/category/newsletter-categories/,GBP,£0.06 per word,y,y,y,n,
Flash Fiction Online,2018,Active,7/9/2026,n,y,n,n/a,1000,Reading periods,,https://www.flashfictiononline.com/,USD,100,y,y,y,y,
Gavagai,2026,Active,7/9/2026,n,y,n,n/a,7500,Always open,,https://www.gavagai.com/,USD,$0.08 per word,y,y,y,y,
"Green Sheaf, The",2023,Active,7/9/2026,n,y,n,n/a,500,Reading periods,Submissions are restricted to female-identifying and gender-fluid individuals.,https://www.thegreensheaf.com/,USD,$50 ,y,y,y,y,
Haven Speculative Magazine,2021,Active,7/10/2026,n,y,n,1000,5000,Rolling,Varies,https://www.havenspec.com/,USD,$0.08 per word,y,y,n,n,
Heartlines Spec,2022,Active,7/10/2026,n,y,n,500,3500,Reading periods,,https://www.heartlines-spec.com/,CAD,$0.08 per word,y,y,n,y,Stories about long-term relationships.
If There's Anyone Left,2020,Active,7/9/2026,y,y,n,n/a,1000,Reading Periods,"Submissions are restricted to people who identify as a person of color, LGBTQ+, disabled, or of a marginalized gender.",https://www.iftheresanyoneleft.com/,USD,$0.08 per word,y,y,y,y,
khōréō Magazine,2020,Active,7/10/2026,n,y,n,n/a,5000,Reading periods,Submissions are restricted to people who identify as immigrants or members of a diaspora.,https://khoreomag.com/,USD,$0.10 per word,y,y,y,n,
Lightspeed Magazine,2009,Active,7/10/2026,n,y,y,n/a,10000,Reading periods,,https://www.lightspeedmagazine.com/,USD,$0.08 per word,y,y,n,n,
Mysterion,unknown,Active,7/10/2026,n,y,n,n/a,10000,Reading periods,,https://www.mysteriononline.com/,USD,$0.08 per word,y,y,y,y,Christian-themed stories.
Night Shades Magazine,2025,Active,7/10/2026,n,y,n,n/a,500,Reading periods,,https://www.nightshadesmag.com/,USD,$75 ,y,y,y,n,
Nightmare Magazine,2012,Active,7/10/2026,n,y,y,n/a,7500,Reading periods,,https://www.nightmare-magazine.com/,USD,$0.08 per word,y,n,y,n,Dark fantasy or horror.
"Orange and Bee, The",2023,Active,7/10/2026,n,y,n,n/a,4000,Reading periods,,https://theorangebee.substack.com/,USD,$0.08 per word,y,n,n,y,stories inspired by folklore
Orion's Belt,2021,Active,7/10/2026,y,y,n,n/a,1000,Reading periods,,https://www.orions-belt.net/,USD,$0.08 per word,y,y,n,n,
OTHERSIDE,2025,Active,7/10/2026,y,y,n,500,4000,Reading periods,Submissions are restricted to 2SLGBTQIA+ authors and artists.,https://othersidespec.com/,USD,$0.08 per word,y,y,y,y,
Plott Hound Magazine,2024,Active,7/10/2026,n,y,n,n/a,5000,Reading periods,,https://plotthoundmag.com/,USD,$0.08 per word,y,y,y,n,Animal stories
PodCastle,2007,Active,7/10/2026,n,y,y,n/a,6000,Reading periods,,https://podcastle.org/,USD,$0.08 per word,y,n,n,n,
Reckoning,2016,Active,7/10/2026,y,y,n,n/a,15000,Rolling,,https://reckoning.press/,USD,$0.15 per word,y,y,n,y,Environmental Justice
Small Wonders Magazine,unknown,Active,7/10/2026,n,y,n,n/a,1000,Reading periods,,https://smallwondersmag.com/,USD,$0.10 per word,y,y,n,n,
Strange Horizons,2000,Active,7/10/2026,n,y,y,n/a,10000,Reading periods,,http://strangehorizons.com/,USD,$0.10 per word,y,y,y,n,
Three-Lobed Burning Eye Magazine,1999,Active,7/10/2026,u,u,u,n/a,7500,Reading periods,,https://www.3lobedmag.com/,USD,$0.08 per word,y,y,y,y,
Tractor Beam,2025,Active,7/10/2026,n,y,n,n/a,6000,Always open,,https://www.tractorbeam.earth/,USD,"$1,000 ",n,y,n,n,"Stories "" set on a future Earth transformed by new approaches to soil"""
Uncanny Magazine,2014,Active,7/10/2026,n,y,y,750,30000,Reading periods,,https://uncannymagazine.com/,USD,$0.10 per word,y,y,n,n,
Utopia Science Fiction Magazine,2019,Active,7/10/2026,n,y,n,100,5000,Rolling,,https://www.utopiasciencefiction.com/,USD,$0.08 per word,n,y,n,n,
